2022-05-17 18:55:25.928 [JavaFX Application Thread] INFO  Main - Application started
2022-05-17 18:55:26.199 [JavaFX Application Thread] INFO  GUI.Controller.CheatSheet - show cheat sheet (game info)
2022-05-17 18:55:26.219 [JavaFX Application Thread] INFO  GUI.Controller.GameTracker - show game tracker
2022-05-17 18:55:26.848 [JavaFX Application Thread] INFO  BuildData.ReadDefualtData - default data is created
2022-05-17 18:55:27.976 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Ambassador1 Ambassador1
2022-05-17 18:55:27.976 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Assassin2 Ambassador1
2022-05-17 18:55:27.977 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Assassin2 Ambassador2
2022-05-17 18:55:27.977 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Assassin2 Ambassador3
2022-05-17 18:55:27.977 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Assassin2 Assassin1
2022-05-17 18:55:27.977 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Assassin2 Assassin2
2022-05-17 18:55:27.978 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Ambassador1
2022-05-17 18:55:27.978 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Ambassador2
2022-05-17 18:55:27.978 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Ambassador3
2022-05-17 18:55:27.979 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Assassin1
2022-05-17 18:55:27.979 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Assassin2
2022-05-17 18:55:27.979 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Assassin3
2022-05-17 18:55:27.979 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Captain1
2022-05-17 18:55:27.979 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Captain2
