2022-05-17 10:50:42.346 [JavaFX Application Thread] INFO  Main - Application started
2022-05-17 10:50:42.599 [JavaFX Application Thread] INFO  GUI.Controller.CheatSheet - show cheat sheet (game info)
2022-05-17 10:50:42.619 [JavaFX Application Thread] INFO  GUI.Controller.GameTracker - show game tracker
2022-05-17 10:50:43.194 [JavaFX Application Thread] INFO  BuildData.ReadDefualtData - default data is created
2022-05-17 10:50:44.475 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Ambassador1 Ambassador1
2022-05-17 10:50:44.475 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Assassin2 Ambassador1
2022-05-17 10:50:44.475 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Assassin2 Ambassador2
2022-05-17 10:50:44.475 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Assassin2 Ambassador3
2022-05-17 10:50:44.476 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Assassin2 Assassin1
2022-05-17 10:50:44.476 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Assassin2 Assassin2
2022-05-17 10:50:44.477 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Ambassador1
2022-05-17 10:50:44.477 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Ambassador2
2022-05-17 10:50:44.477 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Ambassador3
2022-05-17 10:50:44.477 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Assassin1
2022-05-17 10:50:44.477 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Assassin2
2022-05-17 10:50:44.477 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Assassin3
2022-05-17 10:50:44.477 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Captain1
2022-05-17 10:50:44.477 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Captain2
2022-05-17 10:50:44.477 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Captain3
2022-05-17 10:50:44.478 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Contessa1
2022-05-17 10:50:44.478 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Contessa2
2022-05-17 10:50:44.478 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Contessa3
2022-05-17 10:50:44.478 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Duke1 Duke1
2022-05-17 10:50:44.478 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Ambassador1
2022-05-17 10:50:44.478 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Ambassador2
2022-05-17 10:50:44.478 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Ambassador3
2022-05-17 10:50:44.478 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Assassin1
2022-05-17 10:50:44.478 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Assassin2
2022-05-17 10:50:44.478 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Assassin3
2022-05-17 10:50:44.478 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Captain1
2022-05-17 10:50:44.479 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Captain2
2022-05-17 10:50:44.479 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Captain3
2022-05-17 10:50:44.479 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Contessa1
2022-05-17 10:50:44.479 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Contessa2
2022-05-17 10:50:44.479 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Contessa3 Contessa3
2022-05-17 10:50:44.479 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Captain3 Ambassador1
2022-05-17 10:50:44.479 [JavaFX Application Thread] WARN  Model.Cards.CardsDataBase - Captain3 Ambassador2
